# This file was produced by bcftools stats (1.23+htslib-1.23) and can be plotted using plot-vcfstats.
# The command line was:	bcftools stats  results/vcf/medaka_reads_only/medaka.annotated.sorted.vcf.gz
#
# Definition of sets:
# ID	[2]id	[3]tab-separated file names
ID	0	results/vcf/medaka_reads_only/medaka.annotated.sorted.vcf.gz
# SN, Summary numbers:
#   number of records   .. number of data rows in the VCF
#   number of no-ALTs   .. reference-only sites, ALT is either "." or identical to REF
#   number of SNPs      .. number of rows with a SNP
#   number of MNPs      .. number of rows with a MNP, such as CC>TT
#   number of indels    .. number of rows with an indel
#   number of others    .. number of rows with other type, for example a symbolic allele or
#                          a complex substitution, such as ACT>TCGA
#   number of multiallelic sites     .. number of rows with multiple alternate alleles
#   number of multiallelic SNP sites .. number of rows with multiple alternate alleles, all SNPs
# 
#   Note that rows containing multiple types will be counted multiple times, in each
#   counter. For example, a row with a SNP and an indel increments both the SNP and
#   the indel counter.
# 
# SN	[2]id	[3]key	[4]value
SN	0	number of samples:	1
SN	0	number of records:	14089
SN	0	number of no-ALTs:	0
SN	0	number of SNPs:	8519
SN	0	number of MNPs:	4396
SN	0	number of indels:	840
SN	0	number of others:	334
SN	0	number of multiallelic sites:	0
SN	0	number of multiallelic SNP sites:	0
# TSTV, transitions/transversions
#   - transitions, see https://en.wikipedia.org/wiki/Transition_(genetics)
#   - transversions, see https://en.wikipedia.org/wiki/Transversion
# TSTV	[2]id	[3]ts	[4]tv	[5]ts/tv	[6]ts (1st ALT)	[7]tv (1st ALT)	[8]ts/tv (1st ALT)
TSTV	0	4296	4223	1.02	4296	4223	1.02
# SiS, Singleton stats:
#   - allele count, i.e. the number of singleton genotypes (AC=1)
#   - number of transitions, see above
#   - number of transversions, see above
#   - repeat-consistent, inconsistent and n/a: experimental and useless stats [DEPRECATED]
# SiS	[2]id	[3]allele count	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
SiS	0	1	8519	4296	4223	840	0	0	840
# AF, Stats by non-reference allele frequency:
# AF	[2]id	[3]allele frequency	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
AF	0	0.000000	8519	4296	4223	840	0	0	840
# QUAL, Stats by quality
# QUAL	[2]id	[3]Quality	[4]number of SNPs	[5]number of transitions (1st ALT)	[6]number of transversions (1st ALT)	[7]number of indels
QUAL	0	0.0	25	14	11	4
QUAL	0	0.1	23	7	16	10
QUAL	0	0.2	16	13	3	4
QUAL	0	0.3	21	10	11	7
QUAL	0	0.4	27	6	21	5
QUAL	0	0.5	30	11	19	3
QUAL	0	0.6	23	5	18	7
QUAL	0	0.7	22	10	12	4
QUAL	0	0.8	32	9	23	6
QUAL	0	0.9	30	9	21	3
QUAL	0	1.0	23	7	16	6
QUAL	0	1.1	26	6	20	4
QUAL	0	1.2	41	13	28	6
QUAL	0	1.3	29	8	21	10
QUAL	0	1.4	31	7	24	7
QUAL	0	1.5	36	14	22	4
QUAL	0	1.6	50	19	31	5
QUAL	0	1.7	30	13	17	11
QUAL	0	1.8	26	8	18	3
QUAL	0	1.9	24	11	13	7
QUAL	0	2.0	20	11	9	4
QUAL	0	2.1	37	10	27	6
QUAL	0	2.2	38	11	27	5
QUAL	0	2.3	31	13	18	9
QUAL	0	2.4	31	7	24	9
QUAL	0	2.5	35	8	27	6
QUAL	0	2.6	41	9	32	2
QUAL	0	2.7	23	6	17	6
QUAL	0	2.8	31	13	18	3
QUAL	0	2.9	32	12	20	7
QUAL	0	3.0	31	8	23	4
QUAL	0	3.1	35	11	24	13
QUAL	0	3.2	23	7	16	6
QUAL	0	3.3	36	9	27	6
QUAL	0	3.4	33	9	24	5
QUAL	0	3.5	28	10	18	6
QUAL	0	3.6	15	4	11	6
QUAL	0	3.7	14	3	11	3
QUAL	0	3.8	26	7	19	6
QUAL	0	3.9	19	6	13	10
QUAL	0	4.0	18	7	11	2
QUAL	0	4.1	32	14	18	5
QUAL	0	4.2	15	2	13	5
QUAL	0	4.3	28	13	15	4
QUAL	0	4.4	24	11	13	3
QUAL	0	4.5	37	9	28	2
QUAL	0	4.6	23	11	12	4
QUAL	0	4.7	13	6	7	4
QUAL	0	4.8	23	7	16	5
QUAL	0	4.9	24	6	18	2
QUAL	0	5.0	18	8	10	3
QUAL	0	5.1	22	7	15	6
QUAL	0	5.2	17	5	12	4
QUAL	0	5.3	13	1	12	2
QUAL	0	5.4	26	5	21	6
QUAL	0	5.5	14	4	10	7
QUAL	0	5.6	20	5	15	1
QUAL	0	5.7	19	4	15	3
QUAL	0	5.8	17	2	15	2
QUAL	0	5.9	8	3	5	4
QUAL	0	6.0	14	0	14	4
QUAL	0	6.1	21	1	20	0
QUAL	0	6.2	16	7	9	5
QUAL	0	6.3	15	6	9	0
QUAL	0	6.4	15	6	9	2
